# Temperature, K	# Time, s	Channel 1: R8, Ohms	Channel 2: R7, Ohms	Channel 3: R2, Ohms	Channel 4: R3, Ohms	Channel 5: R5, Ohms	Channel 6: R6, Ohms	Channel 7: R11, Ohms	Channel 8: R12, Ohms	Channel 9: ROX, Ohms
4.205863276059015732e+01	1.629564932220473766e+09	5.212899999999999636e+02	5.155085000000000264e+02	5.318229999999999563e+03	5.520739999999999782e+03	2.409565000000000055e+03	1.389059999999999945e+03	1.745550000000000000e+06	1.676855000000000000e+06	1.159690000000000055e+03
4.340978699670176155e+01	1.629658136596167803e+09	5.240933333333333621e+02	5.164786666666667543e+02	5.358233333333333576e+03	5.491020000000000437e+03	2.410243333333333339e+03	1.390516666666666652e+03	1.744906666666666744e+06	1.676060000000000000e+06	1.160276666666666642e+03
4.491322708624554139e+01	1.629564683275985479e+09	5.201866666666666106e+02	5.147656666666666752e+02	5.315480000000000473e+03	5.495939999999999600e+03	2.406379999999999654e+03	1.390196666666666715e+03	1.745070000000000000e+06	1.676300000000000000e+06	1.150449999999999818e+03
4.631924381073701369e+01	1.629657970297223806e+09	5.219966666666666697e+02	5.158313333333334185e+02	5.353679999999999382e+03	5.472716666666667152e+03	2.408116666666666788e+03	1.390269999999999754e+03	1.744260000000000000e+06	1.675376666666666744e+06	1.152240000000000009e+03
4.769218939055159012e+01	1.629564433904826641e+09	5.177999999999999545e+02	5.141005000000000109e+02	5.312215000000000146e+03	5.474880000000000109e+03	2.404519999999999982e+03	1.389130000000000109e+03	1.745065000000000000e+06	1.676220000000000000e+06	1.142539999999999964e+03
4.878338498011581947e+01	1.629657841019566536e+09	5.194900000000001228e+02	5.154026666666666188e+02	5.350410000000000764e+03	5.459483333333333576e+03	2.406303333333333285e+03	1.391279999999999973e+03	1.744276666666666744e+06	1.675406666666666744e+06	1.146666666666666742e+03
5.011552750677759605e+01	1.629564212509557247e+09	5.194600000000000364e+02	5.135180000000000291e+02	5.310270000000000437e+03	5.457310000000000400e+03	2.402460000000000036e+03	1.392115000000000236e+03	1.744640000000000000e+06	1.675815000000000000e+06	1.136090000000000146e+03
5.121161836235509668e+01	1.629657712142530441e+09	5.219666666666665833e+02	5.148756666666666888e+02	5.347639999999999418e+03	5.447853333333333467e+03	2.405139999999999873e+03	1.392529999999999973e+03	1.743710000000000000e+06	1.674716666666666744e+06	1.141160000000000082e+03
5.251069151071143892e+01	1.629563991794668913e+09	5.222500000000000000e+02	5.131040000000000418e+02	5.307909999999999854e+03	5.442845000000000255e+03	2.401110000000000127e+03	1.389914999999999964e+03	1.743975000000000000e+06	1.674760000000000000e+06	1.130684999999999945e+03
5.387401612647539650e+01	1.629634136995325327e+09	5.195150000000001000e+02	5.141832499999999300e+02	5.334825000000000728e+03	5.435127499999999600e+03	2.403282500000000255e+03	1.393387500000000045e+03	1.743340000000000000e+06	1.674122500000000000e+06	1.133970000000000027e+03
5.533362436643365356e+01	1.629510156611281633e+09	5.263841935483870884e+02	5.177022709677420380e+02	5.297576645161289889e+03	5.356767935483871042e+03	2.403638580645161255e+03	1.387806129032258241e+03	1.723286580645161215e+06	1.653228967741935514e+06	1.118309354838709851e+03
5.658813990305065289e+01	1.629511130606375933e+09	5.260735365853659005e+02	5.173922439024390769e+02	5.296654756097560494e+03	5.355832073170731746e+03	2.402918902439023896e+03	1.387746707317073287e+03	1.723631097560975701e+06	1.653549268292682944e+06	1.116369756097561094e+03
5.794035695737213132e+01	1.629518900227848053e+09	5.255211475409836339e+02	5.170879836065574864e+02	5.298538688524590725e+03	5.356321803278689003e+03	2.402462131147541186e+03	1.387777868852459051e+03	1.724230655737704830e+06	1.654188196721311426e+06	1.115145901639344402e+03
5.924433095955301809e+01	1.629515911847722292e+09	5.252907142857142162e+02	5.168345535714286143e+02	5.296231785714286161e+03	5.353784642857142899e+03	2.401949999999999818e+03	1.387664821428571258e+03	1.724253750000000000e+06	1.654198214285714319e+06	1.113101071428571458e+03
6.051520550645093977e+01	1.629524273919410944e+09	5.250621153846154812e+02	5.166306538461539049e+02	5.298484423076923122e+03	5.354304615384616227e+03	2.401674807692307695e+03	1.387668653846153575e+03	1.724845769230769249e+06	1.654750576923076995e+06	1.112241153846153793e+03
